index     timeStep    vehicleName         pos        speed       accel       SpaceGap  


1          1.00       veh1                 0.00       0.00       0.00       -1.00      

2          1.10       veh1                 0.03       0.30       3.00       -1.00      

3          1.20       veh1                 0.09       0.60       3.00       -1.00      

4          1.30       veh1                 0.18       0.90       3.00       -1.00      

5          1.40       veh1                 0.30       1.20       3.00       -1.00      

6          1.50       veh1                 0.45       1.50       3.00       -1.00      

7          1.60       veh1                 0.63       1.80       3.00       -1.00      

8          1.70       veh1                 0.84       2.10       3.00       -1.00      

9          1.80       veh1                 1.08       2.40       3.00       -1.00      

10         1.90       veh1                 1.35       2.70       3.00       -1.00      

11         2.00       veh1                 1.65       3.00       3.00       -1.00      

12         2.10       veh1                 1.98       3.30       3.00       -1.00      

13         2.20       veh1                 2.34       3.60       3.00       -1.00      

14         2.30       veh1                 2.73       3.90       3.00       -1.00      

15         2.40       veh1                 3.15       4.20       3.00       -1.00      

16         2.50       veh1                 3.60       4.50       3.00       -1.00      

17         2.60       veh1                 4.08       4.80       3.00       -1.00      

18         2.70       veh1                 4.59       5.10       3.00       -1.00      

19         2.80       veh1                 5.13       5.40       3.00       -1.00      

20         2.90       veh1                 5.70       5.70       3.00       -1.00      

21         3.00       veh1                 6.30       6.00       3.00       -1.00      

22         3.10       veh1                 6.93       6.30       3.00       -1.00      

23         3.20       veh1                 7.59       6.60       3.00       -1.00      
23         3.20       veh2                 0.00       0.00       0.00       2.59       

24         3.30       veh1                 8.28       6.90       3.00       -1.00      
24         3.30       veh2                 0.03       0.30       3.00       3.25       

25         3.40       veh1                 9.00       7.20       3.00       -1.00      
25         3.40       veh2                 0.09       0.60       3.00       3.91       

26         3.50       veh1                 9.75       7.50       3.00       -1.00      
26         3.50       veh2                 0.18       0.90       3.00       4.57       

27         3.60       veh1                 10.53      7.80       3.00       -1.00      
27         3.60       veh2                 0.30       1.20       3.00       5.23       

28         3.70       veh1                 11.34      8.10       3.00       -1.00      
28         3.70       veh2                 0.45       1.50       3.00       5.89       

29         3.80       veh1                 12.18      8.40       3.00       -1.00      
29         3.80       veh2                 0.63       1.80       3.00       6.55       

30         3.90       veh1                 13.05      8.70       3.00       -1.00      
30         3.90       veh2                 0.84       2.10       3.00       7.21       

31         4.00       veh1                 13.95      9.00       3.00       -1.00      
31         4.00       veh2                 1.08       2.40       3.00       7.87       

32         4.10       veh1                 14.88      9.30       3.00       -1.00      
32         4.10       veh2                 1.35       2.70       3.00       8.53       

33         4.20       veh1                 15.84      9.60       3.00       -1.00      
33         4.20       veh2                 1.65       3.00       3.00       9.19       

34         4.30       veh1                 16.83      9.90       3.00       -1.00      
34         4.30       veh2                 1.98       3.30       3.00       9.85       

35         4.40       veh1                 17.85      10.20      3.00       -1.00      
35         4.40       veh2                 2.34       3.60       3.00       10.51      

36         4.50       veh1                 18.90      10.50      3.00       -1.00      
36         4.50       veh2                 2.73       3.90       3.00       11.17      

37         4.60       veh1                 19.98      10.80      3.00       -1.00      
37         4.60       veh2                 3.15       4.20       3.00       11.83      

38         4.70       veh1                 21.09      11.10      3.00       -1.00      
